MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011064030131826741,1.0
0.0,0.0,0.0,0.0,0.0,0.0,49.99996114913365,49.999999957338154,0.006697459584295612,1.0
0.0,0.0,0.0,0.0,0.0,0.0,-7.051871890169473,-9.743371679151878,0.011039558417663294,1.0
0.0,0.0,0.0,0.0,0.0,0.0,-18.847582020917713,-23.85961987169605,-0.0023014959723820483,0.0
15.748928746472828,0.0,0.0,0.0,0.0,0.0,-6.792487948842549,-9.133327377692387,-0.03630363036303631,0.0
16.079741035016934,0.0,0.0,0.0,0.0,0.0,-4.7016384783965455,-6.832029629837983,0.021624108580630318,1.0
15.973997707376073,0.0,0.0,0.0,0.0,0.0,19.793969014433017,23.178700002508858,-0.005351326198231736,0.0
15.069861738102901,0.0,0.0,0.0,0.0,0.0,-16.182290748074053,-19.507842788665265,-0.04474327628361858,0.0
14.279542974510887,0.0,0.0,0.0,0.0,0.0,14.221991476269427,16.014830462450163,0.000485201358563804,1.0
13.730879628131447,15.00664252452583,0.0,0.0,0.0,0.0,-10.649395976139195,-13.206607153351186,-0.011480214948705422,0.0
12.865658370946393,14.75416411402736,0.0,0.0,0.0,0.0,-17.024404232798062,-20.557615900204297,0.00024330900243309004,1.0
12.46958416647088,14.506588534148548,0.0,0.0,0.0,0.0,-28.593756406878683,-33.56374541688898,0.02553699284009547,1.0
12.854770982206574,14.226957789464038,0.0,0.0,0.0,0.0,44.630649715904006,47.2631542699874,-0.0021479713603818613,0.0
13.094615180542547,13.941595242641569,0.0,0.0,0.0,0.0,11.913118080003038,13.473212708415062,-0.00908004778972521,0.0
12.662439342888137,13.447960400939223,0.0,0.0,0.0,0.0,24.983387536986232,27.538154004406646,-0.04039136979427998,0.0
12.241967564594376,12.799889497935991,0.0,0.0,0.0,0.0,21.536293343582173,23.862004188063093,-0.004744069912609238,1.0
10.963695632678311,11.961991947256337,0.0,0.0,0.0,0.0,46.56836069489499,47.82189177380063,-0.029138731304796286,0.0
9.712059700549318,11.541893092705948,0.0,0.0,0.0,0.0,-27.017937567281557,-30.026659216740654,-0.016452442159383032,1.0
7.580887007915719,10.629253604475068,0.0,0.0,0.0,0.0,1.5611647814791425,1.241099847557834,-0.052660005401026194,0.0
5.32646941106556,9.31374433581783,12.39774855297128,0.0,0.0,0.0,-6.058563584474982,-6.397952607610883,-0.06083001705514497,0.0
2.7596835014330594,7.858225677714118,11.558227025892082,0.0,0.0,0.0,19.812926955103947,19.66631887676984,-0.0321285140562249,0.0
0.6132510848814618,6.140144839332678,10.597523177575114,0.0,0.0,0.0,-29.372986561029958,-29.441735258663925,-0.006934412019647501,0.0
-0.7050793545501078,4.832090714294296,9.817575777900387,0.0,0.0,0.0,-7.621430796949049,-8.319097163173609,0.036894273127753306,1.0
-1.5927744882555004,3.266092378750102,8.911440635051164,0.0,0.0,0.0,4.753939957360386,4.5586646245311835,-0.006221719457013574,0.0
-2.078799879000797,1.8440692146459057,7.958079357721503,0.0,0.0,0.0,-11.242602360165913,-11.2844521267171,-0.03032954214056576,0.0
-2.3528156664321287,0.3795871653081804,6.896733613060405,0.0,0.0,0.0,8.958121805718463,8.66966386955617,0.004656577415599534,1.0
-2.3473317219582697,-0.7160445206129681,5.905009886336429,0.0,0.0,0.0,12.128949192297926,11.879447557564962,0.0017331022530329286,1.0
-2.859644048195697,-1.6431705760920394,5.225236379665631,0.0,0.0,0.0,-22.862235420152643,-23.459846627749034,0.02601074356799548,1.0
-2.432843507114079,-1.8783905528639553,4.607355652017262,0.0,0.0,0.0,-14.007218798029704,-14.875185225586321,0.02378976486860304,1.0
-1.1375453243742155,-1.469890735736172,4.087904308460878,8.082895503284945,0.0,0.0,-25.78859671758375,-27.297478402491702,0.019351321886072498,1.0
0.6206158144183291,-0.7150376150660519,3.6755300721340585,7.7245196930567905,0.0,0.0,-17.04689517446436,-18.812501594107434,0.027600849256900213,1.0
2.1534615431241804,0.07100568444950994,3.155510719426373,7.29935081547309,0.0,0.0,8.991337454480977,9.250739993836083,-0.010386151797603195,0.0
2.8753453927232613,0.18742772489930812,2.529996708674453,6.794538990142343,0.0,0.0,-7.861576205948835,-8.703518228529353,-0.01877040261153428,0.0
3.2443814338118036,0.589485408076726,1.9212661208559323,6.297893451026425,0.0,0.0,43.554400247453636,44.53398931473957,-0.005966910767561703,0.0
3.3308551699144218,1.277046419814738,1.5401845282587132,5.867083254375147,0.0,0.0,28.362155260501996,29.449540704034167,-0.012208355941399893,1.0
3.2660577263578503,2.119531114052684,1.2259001426074505,5.4212316067421975,0.0,0.0,17.473043869280914,18.36569254820905,0.017043941411451397,1.0
2.537420491874066,2.518161535033244,0.8775647785337526,4.883858319456593,0.0,0.0,20.988350439055342,21.44203599391429,-0.04374307862679955,0.0
2.4089608953214423,2.81745413255895,0.565830086788111,4.527051983511782,0.0,0.0,-8.698216085661102,-9.502640761801134,-0.009038619556285949,1.0
2.3218133500008453,2.960271555221724,0.5217942583703987,4.161393935765062,0.0,0.0,-12.541809992610865,-13.596493843570476,0.006811989100817439,1.0
2.484931563977561,3.08597164327567,0.7920928598188368,3.856918772029125,6.837150343797887,0.0,-8.66191956396137,-9.683319259467908,0.009682625067240451,1.0
2.9408941356975333,3.282513541458286,1.273109573506204,3.648516166149726,6.613992245027744,0.0,24.84988166826551,26.670206161674557,0.04263062126332207,1.0
