MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
0.0,0.0,0.0,0.0,0.0,0.0,0.480654448812,0.54535089987,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.213343668678,0.259752926794,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.225264381817,0.272565162324,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.081734123249,0.126083145097,0.0,0
-6.33172065627,0.0,0.0,0.0,0.0,0.0,0.0751564143735,0.130186637336,0.0,0
-7.17459181648,0.0,0.0,0.0,0.0,0.0,0.562089585294,0.622867510049,0.0,1
-8.28859128212,0.0,0.0,0.0,0.0,0.0,0.366624217928,0.424949603247,0.0,0
-9.89135252371,0.0,0.0,0.0,0.0,0.0,0.360472842035,0.419502450217,0.0,0
-10.886726391,0.0,0.0,0.0,0.0,0.0,0.500852665965,0.557460270913,0.0,1
-11.4913548058,-8.83730195206,0.0,0.0,0.0,0.0,0.292447815736,0.353217583603,0.0,0
-12.0281930588,-9.53176863741,0.0,0.0,0.0,0.0,0.527683959914,0.583243004042,0.0,1
-12.3038092346,-10.2308015179,0.0,0.0,0.0,0.0,0.35836332429,0.41711201225,1.0,1
-11.9754040222,-10.8707874343,0.0,0.0,0.0,0.0,0.28656774265,0.34576945956,1.0,1
-11.3152786471,-11.038863881,0.0,0.0,0.0,0.0,0.638818448591,0.703726291341,1.0,1
-10.7487436241,-11.0580293777,0.0,0.0,0.0,0.0,0.186373954931,0.243063279555,0.0,0
-10.2349123951,-11.0698234083,0.0,0.0,0.0,0.0,0.482249044903,0.541796243515,1.0,1
-9.6446976463,-10.9120709159,0.0,0.0,0.0,0.0,0.422147167931,0.481285747723,1.0,1
-9.36575958743,-10.6068478695,0.0,0.0,0.0,0.0,0.416195116549,0.474814766627,0.0,0
-10.2378487655,-10.713017348,0.0,0.0,0.0,0.0,0.157283649853,0.221956541569,0.0,0
-10.8426904117,-10.7321863207,-9.62120632375,0.0,0.0,0.0,0.253889596368,0.315984744409,0.0,0
-11.356365504,-10.7321863207,-9.96563017742,0.0,0.0,0.0,0.472509827806,0.529139867358,1.0,1
-11.8111497229,-10.6643569186,-10.2786127144,0.0,0.0,0.0,0.523608881014,0.580936688481,1.0,1
-11.5969867652,-10.4166172995,-10.4731224826,0.0,0.0,0.0,0.50647804662,0.567471146224,1.0,1
-11.0393757439,-10.5744063034,-10.6347181071,0.0,0.0,0.0,0.308620785117,0.366486549616,0.0,0
-10.6900247397,-10.7026955249,-10.7078350355,0.0,0.0,0.0,0.357942528099,0.416481661631,0.0,0
-10.3699838566,-10.8000136059,-10.7619400453,0.0,0.0,0.0,0.604800398649,0.663209547695,1.0,1
-10.1908666959,-10.9386097838,-10.7524352098,0.0,0.0,0.0,0.143978738719,0.201438751415,1.0,1
