准确率,组合
0.5022421524663677,"(0,)"
0.5022421524663677,"(1,)"
0.4977578475336323,"(2,)"
0.5067264573991032,"(3,)"
0.5022421524663677,"(4,)"
0.5201793721973094,"(5,)"
0.5560538116591929,"(6,)"
0.5515695067264574,"(7,)"
0.8565022421524664,"(8,)"
0.5067264573991032,"(0, 1)"
0.5022421524663677,"(0, 2)"
0.4798206278026906,"(0, 3)"
0.452914798206278,"(0, 4)"
0.4798206278026906,"(0, 5)"
0.5605381165919282,"(0, 6)"
0.5650224215246636,"(0, 7)"
0.7130044843049327,"(0, 8)"
0.4977578475336323,"(1, 2)"
0.4977578475336323,"(1, 3)"
0.4484304932735426,"(1, 4)"
0.5022421524663677,"(1, 5)"
0.5560538116591929,"(1, 6)"
0.5605381165919282,"(1, 7)"
0.6995515695067265,"(1, 8)"
0.4977578475336323,"(2, 3)"
0.48878923766816146,"(2, 4)"
0.49327354260089684,"(2, 5)"
0.5695067264573991,"(2, 6)"
0.5605381165919282,"(2, 7)"
0.6816143497757847,"(2, 8)"
0.49327354260089684,"(3, 4)"
0.4977578475336323,"(3, 5)"
0.5739910313901345,"(3, 6)"
0.5381165919282511,"(3, 7)"
0.6502242152466368,"(3, 8)"
0.5067264573991032,"(4, 5)"
0.5381165919282511,"(4, 6)"
0.5381165919282511,"(4, 7)"
0.5605381165919282,"(4, 8)"
0.547085201793722,"(5, 6)"
0.5381165919282511,"(5, 7)"
0.5426008968609866,"(5, 8)"
0.515695067264574,"(6, 7)"
0.6143497757847534,"(6, 8)"
0.6412556053811659,"(7, 8)"
0.48878923766816146,"(0, 1, 2)"
0.48878923766816146,"(0, 1, 3)"
0.45739910313901344,"(0, 1, 4)"
0.48878923766816146,"(0, 1, 5)"
0.5605381165919282,"(0, 1, 6)"
0.5515695067264574,"(0, 1, 7)"
0.6816143497757847,"(0, 1, 8)"
0.484304932735426,"(0, 2, 3)"
0.45739910313901344,"(0, 2, 4)"
0.49327354260089684,"(0, 2, 5)"
0.5739910313901345,"(0, 2, 6)"
0.5560538116591929,"(0, 2, 7)"
0.6816143497757847,"(0, 2, 8)"
0.4977578475336323,"(0, 3, 4)"
0.4977578475336323,"(0, 3, 5)"
0.5605381165919282,"(0, 3, 6)"
0.547085201793722,"(0, 3, 7)"
0.6278026905829597,"(0, 3, 8)"
0.4663677130044843,"(0, 4, 5)"
0.5515695067264574,"(0, 4, 6)"
0.5515695067264574,"(0, 4, 7)"
0.6233183856502242,"(0, 4, 8)"
0.5515695067264574,"(0, 5, 6)"
0.5515695067264574,"(0, 5, 7)"
0.5964125560538116,"(0, 5, 8)"
0.5112107623318386,"(0, 6, 7)"
0.6233183856502242,"(0, 6, 8)"
0.6322869955156951,"(0, 7, 8)"
0.4977578475336323,"(1, 2, 3)"
0.48878923766816146,"(1, 2, 4)"
0.5067264573991032,"(1, 2, 5)"
0.5695067264573991,"(1, 2, 6)"
0.5560538116591929,"(1, 2, 7)"
0.6995515695067265,"(1, 2, 8)"
0.49327354260089684,"(1, 3, 4)"
0.5022421524663677,"(1, 3, 5)"
0.57847533632287,"(1, 3, 6)"
0.547085201793722,"(1, 3, 7)"
0.6547085201793722,"(1, 3, 8)"
0.4798206278026906,"(1, 4, 5)"
0.5605381165919282,"(1, 4, 6)"
0.5515695067264574,"(1, 4, 7)"
0.5874439461883408,"(1, 4, 8)"
0.5560538116591929,"(1, 5, 6)"
0.5515695067264574,"(1, 5, 7)"
0.5964125560538116,"(1, 5, 8)"
0.5067264573991032,"(1, 6, 7)"
0.6278026905829597,"(1, 6, 8)"
0.6278026905829597,"(1, 7, 8)"
0.49327354260089684,"(2, 3, 4)"
0.4977578475336323,"(2, 3, 5)"
0.5829596412556054,"(2, 3, 6)"
0.547085201793722,"(2, 3, 7)"
0.6771300448430493,"(2, 3, 8)"
0.4977578475336323,"(2, 4, 5)"
0.5381165919282511,"(2, 4, 6)"
0.5336322869955157,"(2, 4, 7)"
0.5829596412556054,"(2, 4, 8)"
0.5560538116591929,"(2, 5, 6)"
0.5381165919282511,"(2, 5, 7)"
0.5919282511210763,"(2, 5, 8)"
0.5022421524663677,"(2, 6, 7)"
0.6278026905829597,"(2, 6, 8)"
0.6278026905829597,"(2, 7, 8)"
0.48878923766816146,"(3, 4, 5)"
0.5381165919282511,"(3, 4, 6)"
0.5201793721973094,"(3, 4, 7)"
0.5964125560538116,"(3, 4, 8)"
0.5695067264573991,"(3, 5, 6)"
0.5381165919282511,"(3, 5, 7)"
0.5919282511210763,"(3, 5, 8)"
0.5112107623318386,"(3, 6, 7)"
0.6278026905829597,"(3, 6, 8)"
0.6098654708520179,"(3, 7, 8)"
0.547085201793722,"(4, 5, 6)"
0.547085201793722,"(4, 5, 7)"
0.547085201793722,"(4, 5, 8)"
0.5426008968609866,"(4, 6, 7)"
0.5919282511210763,"(4, 6, 8)"
0.5919282511210763,"(4, 7, 8)"
0.5381165919282511,"(5, 6, 7)"
0.5964125560538116,"(5, 6, 8)"
0.6053811659192825,"(5, 7, 8)"
0.5739910313901345,"(6, 7, 8)"
0.4798206278026906,"(0, 1, 2, 3)"
0.452914798206278,"(0, 1, 2, 4)"
0.4977578475336323,"(0, 1, 2, 5)"
0.5695067264573991,"(0, 1, 2, 6)"
0.5560538116591929,"(0, 1, 2, 7)"
0.6681614349775785,"(0, 1, 2, 8)"
0.4618834080717489,"(0, 1, 3, 4)"
0.49327354260089684,"(0, 1, 3, 5)"
0.5650224215246636,"(0, 1, 3, 6)"
0.547085201793722,"(0, 1, 3, 7)"
0.6547085201793722,"(0, 1, 3, 8)"
0.4663677130044843,"(0, 1, 4, 5)"
0.5605381165919282,"(0, 1, 4, 6)"
0.5515695067264574,"(0, 1, 4, 7)"
0.6143497757847534,"(0, 1, 4, 8)"
0.5560538116591929,"(0, 1, 5, 6)"
0.5426008968609866,"(0, 1, 5, 7)"
0.5919282511210763,"(0, 1, 5, 8)"
0.515695067264574,"(0, 1, 6, 7)"
0.6143497757847534,"(0, 1, 6, 8)"
0.6278026905829597,"(0, 1, 7, 8)"
0.484304932735426,"(0, 2, 3, 4)"
0.4977578475336323,"(0, 2, 3, 5)"
0.5650224215246636,"(0, 2, 3, 6)"
0.547085201793722,"(0, 2, 3, 7)"
0.6188340807174888,"(0, 2, 3, 8)"
0.4977578475336323,"(0, 2, 4, 5)"
