准确率,组合
0.806640625,"(0, 4, 6, 8)"
0.828125,"(0, 4, 7, 8)"
0.515625,"(0, 5, 6, 7)"
0.796875,"(0, 5, 6, 8)"
0.81640625,"(0, 5, 7, 8)"
0.8125,"(0, 6, 7, 8)"
0.482421875,"(1, 2, 3, 4)"
0.484375,"(1, 2, 3, 5)"
0.501953125,"(1, 2, 3, 6)"
0.53515625,"(1, 2, 3, 7)"
0.7734375,"(1, 2, 3, 8)"
0.451171875,"(1, 2, 4, 5)"
0.517578125,"(1, 2, 4, 6)"
0.51953125,"(1, 2, 4, 7)"
0.783203125,"(1, 2, 4, 8)"
0.544921875,"(1, 2, 5, 6)"
0.521484375,"(1, 2, 5, 7)"
0.78125,"(1, 2, 5, 8)"
0.5,"(1, 2, 6, 7)"
0.7890625,"(1, 2, 6, 8)"
0.802734375,"(1, 2, 7, 8)"
0.490234375,"(1, 3, 4, 5)"
0.484375,"(1, 3, 4, 6)"
0.53515625,"(1, 3, 4, 7)"
0.80078125,"(1, 3, 4, 8)"
0.515625,"(1, 3, 5, 6)"
0.546875,"(1, 3, 5, 7)"
0.78515625,"(1, 3, 5, 8)"
0.517578125,"(1, 3, 6, 7)"
0.794921875,"(1, 3, 6, 8)"
0.78515625,"(1, 3, 7, 8)"
0.5078125,"(1, 4, 5, 6)"
0.494140625,"(1, 4, 5, 7)"
0.794921875,"(1, 4, 5, 8)"
0.525390625,"(1, 4, 6, 7)"
0.796875,"(1, 4, 6, 8)"
0.791015625,"(1, 4, 7, 8)"
0.498046875,"(1, 5, 6, 7)"
0.794921875,"(1, 5, 6, 8)"
0.80078125,"(1, 5, 7, 8)"
0.771484375,"(1, 6, 7, 8)"
0.478515625,"(2, 3, 4, 5)"
0.47265625,"(2, 3, 4, 6)"
0.53515625,"(2, 3, 4, 7)"
0.794921875,"(2, 3, 4, 8)"
0.509765625,"(2, 3, 5, 6)"
0.521484375,"(2, 3, 5, 7)"
0.796875,"(2, 3, 5, 8)"
0.5078125,"(2, 3, 6, 7)"
0.779296875,"(2, 3, 6, 8)"
0.794921875,"(2, 3, 7, 8)"
0.515625,"(2, 4, 5, 6)"
0.51171875,"(2, 4, 5, 7)"
0.783203125,"(2, 4, 5, 8)"
0.5234375,"(2, 4, 6, 7)"
0.79296875,"(2, 4, 6, 8)"
0.783203125,"(2, 4, 7, 8)"
0.515625,"(2, 5, 6, 7)"
0.802734375,"(2, 5, 6, 8)"
0.787109375,"(2, 5, 7, 8)"
0.775390625,"(2, 6, 7, 8)"
0.490234375,"(3, 4, 5, 6)"
0.541015625,"(3, 4, 5, 7)"
0.814453125,"(3, 4, 5, 8)"
0.521484375,"(3, 4, 6, 7)"
0.80078125,"(3, 4, 6, 8)"
0.794921875,"(3, 4, 7, 8)"
0.51953125,"(3, 5, 6, 7)"
0.796875,"(3, 5, 6, 8)"
0.78125,"(3, 5, 7, 8)"
0.78125,"(3, 6, 7, 8)"
0.53125,"(4, 5, 6, 7)"
0.78125,"(4, 5, 6, 8)"
0.78125,"(4, 5, 7, 8)"
0.79296875,"(4, 6, 7, 8)"
0.787109375,"(5, 6, 7, 8)"
0.47265625,"(0, 1, 2, 3, 4)"
0.466796875,"(0, 1, 2, 3, 5)"
0.490234375,"(0, 1, 2, 3, 6)"
0.52734375,"(0, 1, 2, 3, 7)"
0.783203125,"(0, 1, 2, 3, 8)"
0.44140625,"(0, 1, 2, 4, 5)"
0.525390625,"(0, 1, 2, 4, 6)"
0.509765625,"(0, 1, 2, 4, 7)"
0.796875,"(0, 1, 2, 4, 8)"
0.546875,"(0, 1, 2, 5, 6)"
0.515625,"(0, 1, 2, 5, 7)"
0.791015625,"(0, 1, 2, 5, 8)"
0.494140625,"(0, 1, 2, 6, 7)"
0.802734375,"(0, 1, 2, 6, 8)"
0.82421875,"(0, 1, 2, 7, 8)"
0.46484375,"(0, 1, 3, 4, 5)"
0.509765625,"(0, 1, 3, 4, 6)"
0.548828125,"(0, 1, 3, 4, 7)"
0.8125,"(0, 1, 3, 4, 8)"
0.556640625,"(0, 1, 3, 5, 6)"
0.54296875,"(0, 1, 3, 5, 7)"
0.796875,"(0, 1, 3, 5, 8)"
0.5,"(0, 1, 3, 6, 7)"
0.78515625,"(0, 1, 3, 6, 8)"
0.806640625,"(0, 1, 3, 7, 8)"
0.513671875,"(0, 1, 4, 5, 6)"
0.51171875,"(0, 1, 4, 5, 7)"
0.814453125,"(0, 1, 4, 5, 8)"
0.513671875,"(0, 1, 4, 6, 7)"
0.7890625,"(0, 1, 4, 6, 8)"
0.810546875,"(0, 1, 4, 7, 8)"
0.51171875,"(0, 1, 5, 6, 7)"
0.779296875,"(0, 1, 5, 6, 8)"
0.818359375,"(0, 1, 5, 7, 8)"
0.787109375,"(0, 1, 6, 7, 8)"
0.482421875,"(0, 2, 3, 4, 5)"
0.5,"(0, 2, 3, 4, 6)"
0.54296875,"(0, 2, 3, 4, 7)"
0.794921875,"(0, 2, 3, 4, 8)"
0.5390625,"(0, 2, 3, 5, 6)"
0.552734375,"(0, 2, 3, 5, 7)"
0.791015625,"(0, 2, 3, 5, 8)"
0.52734375,"(0, 2, 3, 6, 7)"
0.8125,"(0, 2, 3, 6, 8)"
0.8046875,"(0, 2, 3, 7, 8)"
0.51953125,"(0, 2, 4, 5, 6)"
0.517578125,"(0, 2, 4, 5, 7)"
0.806640625,"(0, 2, 4, 5, 8)"
0.541015625,"(0, 2, 4, 6, 7)"
0.79296875,"(0, 2, 4, 6, 8)"
0.81640625,"(0, 2, 4, 7, 8)"
0.537109375,"(0, 2, 5, 6, 7)"
0.7890625,"(0, 2, 5, 6, 8)"
0.8046875,"(0, 2, 5, 7, 8)"
0.80078125,"(0, 2, 6, 7, 8)"
0.521484375,"(0, 3, 4, 5, 6)"
0.564453125,"(0, 3, 4, 5, 7)"
0.814453125,"(0, 3, 4, 5, 8)"
0.5703125,"(0, 3, 4, 6, 7)"
0.818359375,"(0, 3, 4, 6, 8)"
0.810546875,"(0, 3, 4, 7, 8)"
0.556640625,"(0, 3, 5, 6, 7)"
0.80078125,"(0, 3, 5, 6, 8)"
0.810546875,"(0, 3, 5, 7, 8)"
0.806640625,"(0, 3, 6, 7, 8)"
0.53515625,"(0, 4, 5, 6, 7)"
0.802734375,"(0, 4, 5, 6, 8)"
0.81640625,"(0, 4, 5, 7, 8)"
0.82421875,"(0, 4, 6, 7, 8)"
0.810546875,"(0, 5, 6, 7, 8)"
0.45703125,"(1, 2, 3, 4, 5)"
0.46875,"(1, 2, 3, 4, 6)"
0.53515625,"(1, 2, 3, 4, 7)"
0.791015625,"(1, 2, 3, 4, 8)"
0.51171875,"(1, 2, 3, 5, 6)"
0.53125,"(1, 2, 3, 5, 7)"
0.78515625,"(1, 2, 3, 5, 8)"
0.501953125,"(1, 2, 3, 6, 7)"
0.783203125,"(1, 2, 3, 6, 8)"
0.79296875,"(1, 2, 3, 7, 8)"
0.51171875,"(1, 2, 4, 5, 6)"
0.5078125,"(1, 2, 4, 5, 7)"
0.798828125,"(1, 2, 4, 5, 8)"
0.5078125,"(1, 2, 4, 6, 7)"
0.80078125,"(1, 2, 4, 6, 8)"
0.794921875,"(1, 2, 4, 7, 8)"
0.525390625,"(1, 2, 5, 6, 7)"
0.7890625,"(1, 2, 5, 6, 8)"
0.791015625,"(1, 2, 5, 7, 8)"
0.78125,"(1, 2, 6, 7, 8)"
0.521484375,"(1, 3, 4, 5, 6)"
0.54296875,"(1, 3, 4, 5, 7)"
0.798828125,"(1, 3, 4, 5, 8)"
0.533203125,"(1, 3, 4, 6, 7)"
0.810546875,"(1, 3, 4, 6, 8)"
0.7890625,"(1, 3, 4, 7, 8)"
0.505859375,"(1, 3, 5, 6, 7)"
0.80859375,"(1, 3, 5, 6, 8)"
0.80078125,"(1, 3, 5, 7, 8)"
0.78515625,"(1, 3, 6, 7, 8)"
0.49609375,"(1, 4, 5, 6, 7)"
0.814453125,"(1, 4, 5, 6, 8)"
0.80078125,"(1, 4, 5, 7, 8)"
0.80078125,"(1, 4, 6, 7, 8)"
0.791015625,"(1, 5, 6, 7, 8)"
0.484375,"(2, 3, 4, 5, 6)"
0.548828125,"(2, 3, 4, 5, 7)"
0.810546875,"(2, 3, 4, 5, 8)"
0.5703125,"(2, 3, 4, 6, 7)"
0.791015625,"(2, 3, 4, 6, 8)"
0.78515625,"(2, 3, 4, 7, 8)"
0.53125,"(2, 3, 5, 6, 7)"
0.806640625,"(2, 3, 5, 6, 8)"
0.79296875,"(2, 3, 5, 7, 8)"
0.775390625,"(2, 3, 6, 7, 8)"
0.525390625,"(2, 4, 5, 6, 7)"
0.77734375,"(2, 4, 5, 6, 8)"
0.791015625,"(2, 4, 5, 7, 8)"
0.78125,"(2, 4, 6, 7, 8)"
0.775390625,"(2, 5, 6, 7, 8)"
0.53125,"(3, 4, 5, 6, 7)"
0.783203125,"(3, 4, 5, 6, 8)"
0.787109375,"(3, 4, 5, 7, 8)"
0.78125,"(3, 4, 6, 7, 8)"
0.787109375,"(3, 5, 6, 7, 8)"
0.783203125,"(4, 5, 6, 7, 8)"
0.45703125,"(0, 1, 2, 3, 4, 5)"
0.47265625,"(0, 1, 2, 3, 4, 6)"
0.53515625,"(0, 1, 2, 3, 4, 7)"
0.787109375,"(0, 1, 2, 3, 4, 8)"
0.484375,"(0, 1, 2, 3, 5, 6)"
0.552734375,"(0, 1, 2, 3, 5, 7)"
0.80078125,"(0, 1, 2, 3, 5, 8)"
0.5234375,"(0, 1, 2, 3, 6, 7)"
0.7890625,"(0, 1, 2, 3, 6, 8)"
0.810546875,"(0, 1, 2, 3, 7, 8)"
0.5078125,"(0, 1, 2, 4, 5, 6)"
0.5390625,"(0, 1, 2, 4, 5, 7)"
0.8046875,"(0, 1, 2, 4, 5, 8)"
0.48828125,"(0, 1, 2, 4, 6, 7)"
0.78515625,"(0, 1, 2, 4, 6, 8)"
0.81640625,"(0, 1, 2, 4, 7, 8)"
0.54296875,"(0, 1, 2, 5, 6, 7)"
0.7890625,"(0, 1, 2, 5, 6, 8)"
0.806640625,"(0, 1, 2, 5, 7, 8)"
0.791015625,"(0, 1, 2, 6, 7, 8)"
0.529296875,"(0, 1, 3, 4, 5, 6)"
0.5390625,"(0, 1, 3, 4, 5, 7)"
0.8203125,"(0, 1, 3, 4, 5, 8)"
0.50390625,"(0, 1, 3, 4, 6, 7)"
0.787109375,"(0, 1, 3, 4, 6, 8)"
0.81640625,"(0, 1, 3, 4, 7, 8)"
0.54296875,"(0, 1, 3, 5, 6, 7)"
0.802734375,"(0, 1, 3, 5, 6, 8)"
0.8125,"(0, 1, 3, 5, 7, 8)"
