准确率,组合
0.5427251732101617,"(0,)"
0.535796766743649,"(1,)"
0.5404157043879908,"(2,)"
0.5450346420323325,"(3,)"
0.5542725173210161,"(4,)"
0.5565819861431871,"(5,)"
0.47575057736720555,"(6,)"
0.47575057736720555,"(7,)"
0.8106235565819861,"(8,)"
0.5542725173210161,"(0, 1)"
0.5496535796766744,"(0, 2)"
0.5565819861431871,"(0, 3)"
0.5496535796766744,"(0, 4)"
0.5242494226327945,"(0, 5)"
0.5427251732101617,"(0, 6)"
0.5127020785219399,"(0, 7)"
0.7575057736720554,"(0, 8)"
0.5173210161662818,"(1, 2)"
0.5311778290993071,"(1, 3)"
0.5196304849884527,"(1, 4)"
0.5150115473441108,"(1, 5)"
0.535796766743649,"(1, 6)"
0.5080831408775982,"(1, 7)"
0.7782909930715936,"(1, 8)"
0.5011547344110855,"(2, 3)"
0.5450346420323325,"(2, 4)"
0.5103926096997691,"(2, 5)"
0.535796766743649,"(2, 6)"
0.5057736720554272,"(2, 7)"
0.789838337182448,"(2, 8)"
0.5565819861431871,"(3, 4)"
0.5265588914549654,"(3, 5)"
0.5311778290993071,"(3, 6)"
0.5034642032332564,"(3, 7)"
0.8036951501154734,"(3, 8)"
0.5196304849884527,"(4, 5)"
0.535796766743649,"(4, 6)"
0.5057736720554272,"(4, 7)"
0.7852193995381063,"(4, 8)"
0.5150115473441108,"(5, 6)"
0.49191685912240185,"(5, 7)"
0.815242494226328,"(5, 8)"
0.5334872979214781,"(6, 7)"
0.8198614318706697,"(6, 8)"
0.7528868360277137,"(7, 8)"
0.5450346420323325,"(0, 1, 2)"
0.5381062355658198,"(0, 1, 3)"
0.5565819861431871,"(0, 1, 4)"
0.5334872979214781,"(0, 1, 5)"
0.5612009237875288,"(0, 1, 6)"
0.558891454965358,"(0, 1, 7)"
0.7228637413394919,"(0, 1, 8)"
0.5542725173210161,"(0, 2, 3)"
0.5658198614318707,"(0, 2, 4)"
0.5381062355658198,"(0, 2, 5)"
0.5450346420323325,"(0, 2, 6)"
0.5404157043879908,"(0, 2, 7)"
0.7321016166281755,"(0, 2, 8)"
0.5496535796766744,"(0, 3, 4)"
0.5612009237875288,"(0, 3, 5)"
0.5311778290993071,"(0, 3, 6)"
0.5196304849884527,"(0, 3, 7)"
0.7159353348729792,"(0, 3, 8)"
0.5196304849884527,"(0, 4, 5)"
0.5381062355658198,"(0, 4, 6)"
0.535796766743649,"(0, 4, 7)"
0.7390300230946882,"(0, 4, 8)"
0.5080831408775982,"(0, 5, 6)"
0.5334872979214781,"(0, 5, 7)"
0.7274826789838337,"(0, 5, 8)"
0.5473441108545035,"(0, 6, 7)"
0.745958429561201,"(0, 6, 8)"
0.7159353348729792,"(0, 7, 8)"
0.5150115473441108,"(1, 2, 3)"
0.5381062355658198,"(1, 2, 4)"
0.5288683602771362,"(1, 2, 5)"
0.5427251732101617,"(1, 2, 6)"
0.5219399538106235,"(1, 2, 7)"
0.7852193995381063,"(1, 2, 8)"
0.5334872979214781,"(1, 3, 4)"
0.5265588914549654,"(1, 3, 5)"
0.5242494226327945,"(1, 3, 6)"
0.5196304849884527,"(1, 3, 7)"
0.7528868360277137,"(1, 3, 8)"
0.5219399538106235,"(1, 4, 5)"
0.5173210161662818,"(1, 4, 6)"
0.4896073903002309,"(1, 4, 7)"
0.7782909930715936,"(1, 4, 8)"
0.5057736720554272,"(1, 5, 6)"
0.5196304849884527,"(1, 5, 7)"
0.7644341801385681,"(1, 5, 8)"
0.5496535796766744,"(1, 6, 7)"
0.7598152424942263,"(1, 6, 8)"
0.7274826789838337,"(1, 7, 8)"
0.5265588914549654,"(2, 3, 4)"
0.5011547344110855,"(2, 3, 5)"
0.5196304849884527,"(2, 3, 6)"
0.49884526558891457,"(2, 3, 7)"
0.7505773672055427,"(2, 3, 8)"
0.5080831408775982,"(2, 4, 5)"
0.5334872979214781,"(2, 4, 6)"
0.5057736720554272,"(2, 4, 7)"
0.789838337182448,"(2, 4, 8)"
0.5011547344110855,"(2, 5, 6)"
0.5103926096997691,"(2, 5, 7)"
0.766743648960739,"(2, 5, 8)"
0.5473441108545035,"(2, 6, 7)"
0.7713625866050808,"(2, 6, 8)"
0.7344110854503464,"(2, 7, 8)"
0.5288683602771362,"(3, 4, 5)"
0.5404157043879908,"(3, 4, 6)"
0.5219399538106235,"(3, 4, 7)"
0.7598152424942263,"(3, 4, 8)"
0.5103926096997691,"(3, 5, 6)"
0.49653579676674364,"(3, 5, 7)"
0.7944572748267898,"(3, 5, 8)"
0.5496535796766744,"(3, 6, 7)"
0.789838337182448,"(3, 6, 8)"
0.7367205542725174,"(3, 7, 8)"
0.49884526558891457,"(4, 5, 6)"
0.4896073903002309,"(4, 5, 7)"
0.7598152424942263,"(4, 5, 8)"
0.5496535796766744,"(4, 6, 7)"
0.7782909930715936,"(4, 6, 8)"
0.7390300230946882,"(4, 7, 8)"
0.5404157043879908,"(5, 6, 7)"
0.8060046189376443,"(5, 6, 8)"
0.76905311778291,"(5, 7, 8)"
0.651270207852194,"(6, 7, 8)"
0.5404157043879908,"(0, 1, 2, 3)"
0.5542725173210161,"(0, 1, 2, 4)"
0.5334872979214781,"(0, 1, 2, 5)"
0.5496535796766744,"(0, 1, 2, 6)"
0.5565819861431871,"(0, 1, 2, 7)"
0.7274826789838337,"(0, 1, 2, 8)"
0.5750577367205543,"(0, 1, 3, 4)"
0.5404157043879908,"(0, 1, 3, 5)"
0.5427251732101617,"(0, 1, 3, 6)"
0.5265588914549654,"(0, 1, 3, 7)"
0.7228637413394919,"(0, 1, 3, 8)"
