准确率,组合
0.5505804311774462,"(0,)"
0.5522388059701493,"(1,)"
0.5538971807628524,"(2,)"
0.548922056384743,"(3,)"
0.5505804311774462,"(4,)"
0.548922056384743,"(5,)"
0.494195688225539,"(6,)"
0.494195688225539,"(7,)"
0.8490878938640133,"(8,)"
0.5522388059701493,"(0, 1)"
0.5456053067993366,"(0, 2)"
0.5472636815920398,"(0, 3)"
0.548922056384743,"(0, 4)"
0.5422885572139303,"(0, 5)"
0.5588723051409619,"(0, 6)"
0.5522388059701493,"(0, 7)"
0.572139303482587,"(0, 8)"
0.5505804311774462,"(1, 2)"
0.5406301824212272,"(1, 3)"
0.5422885572139303,"(1, 4)"
0.548922056384743,"(1, 5)"
0.5555555555555556,"(1, 6)"
0.5555555555555556,"(1, 7)"
0.572139303482587,"(1, 8)"
0.5356550580431177,"(2, 3)"
0.527363184079602,"(2, 4)"
0.5323383084577115,"(2, 5)"
0.5572139303482587,"(2, 6)"
0.5505804311774462,"(2, 7)"
0.5837479270315091,"(2, 8)"
0.5356550580431177,"(3, 4)"
0.538971807628524,"(3, 5)"
0.5555555555555556,"(3, 6)"
0.5522388059701493,"(3, 7)"
0.5837479270315091,"(3, 8)"
0.5373134328358209,"(4, 5)"
0.5572139303482587,"(4, 6)"
0.548922056384743,"(4, 7)"
0.5870646766169154,"(4, 8)"
0.5522388059701493,"(5, 6)"
0.5439469320066335,"(5, 7)"
0.5870646766169154,"(5, 8)"
0.4925373134328358,"(6, 7)"
0.6948590381426202,"(6, 8)"
0.6451077943615257,"(7, 8)"
0.5522388059701493,"(0, 1, 2)"
0.5439469320066335,"(0, 1, 3)"
0.5472636815920398,"(0, 1, 4)"
0.5439469320066335,"(0, 1, 5)"
0.5621890547263682,"(0, 1, 6)"
0.5621890547263682,"(0, 1, 7)"
0.5887230514096186,"(0, 1, 8)"
0.5456053067993366,"(0, 2, 3)"
0.5323383084577115,"(0, 2, 4)"
0.5439469320066335,"(0, 2, 5)"
0.5638474295190713,"(0, 2, 6)"
0.5638474295190713,"(0, 2, 7)"
0.5787728026533997,"(0, 2, 8)"
0.5339966832504146,"(0, 3, 4)"
0.5422885572139303,"(0, 3, 5)"
0.5621890547263682,"(0, 3, 6)"
0.5671641791044776,"(0, 3, 7)"
0.5638474295190713,"(0, 3, 8)"
0.5406301824212272,"(0, 4, 5)"
0.5505804311774462,"(0, 4, 6)"
0.548922056384743,"(0, 4, 7)"
0.5588723051409619,"(0, 4, 8)"
0.5439469320066335,"(0, 5, 6)"
0.5505804311774462,"(0, 5, 7)"
0.5638474295190713,"(0, 5, 8)"
0.5422885572139303,"(0, 6, 7)"
0.5920398009950248,"(0, 6, 8)"
0.5870646766169154,"(0, 7, 8)"
0.5439469320066335,"(1, 2, 3)"
0.5356550580431177,"(1, 2, 4)"
0.5505804311774462,"(1, 2, 5)"
0.5688225538971807,"(1, 2, 6)"
0.5671641791044776,"(1, 2, 7)"
0.5771144278606966,"(1, 2, 8)"
0.5356550580431177,"(1, 3, 4)"
0.5472636815920398,"(1, 3, 5)"
0.5538971807628524,"(1, 3, 6)"
0.5572139303482587,"(1, 3, 7)"
0.5655058043117744,"(1, 3, 8)"
0.538971807628524,"(1, 4, 5)"
0.5422885572139303,"(1, 4, 6)"
0.5406301824212272,"(1, 4, 7)"
0.5572139303482587,"(1, 4, 8)"
0.5456053067993366,"(1, 5, 6)"
0.5472636815920398,"(1, 5, 7)"
0.5655058043117744,"(1, 5, 8)"
0.5456053067993366,"(1, 6, 7)"
0.593698175787728,"(1, 6, 8)"
0.5870646766169154,"(1, 7, 8)"
0.5373134328358209,"(2, 3, 4)"
0.5323383084577115,"(2, 3, 5)"
0.5323383084577115,"(2, 3, 6)"
0.5323383084577115,"(2, 3, 7)"
0.5638474295190713,"(2, 3, 8)"
0.5339966832504146,"(2, 4, 5)"
0.5323383084577115,"(2, 4, 6)"
0.5306799336650083,"(2, 4, 7)"
0.5588723051409619,"(2, 4, 8)"
0.5373134328358209,"(2, 5, 6)"
0.5356550580431177,"(2, 5, 7)"
0.5588723051409619,"(2, 5, 8)"
0.5472636815920398,"(2, 6, 7)"
0.5887230514096186,"(2, 6, 8)"
