合约,日期,前收盘,开盘价,最高价,最低价,收盘价,成交量,成交金额,涨跌(收盘价),涨跌幅(收盘价),持仓量,前结算,结算价,涨跌(结算价),涨跌幅(结算价),MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
HC,20140321,8.271784559379704,7.036002596264858,7.735590652075608,7.131336289417554,8.410521709316612,187478,619004.02,8,2.5938535911249616,52030,8.216850446655478,7.875706910034438,-16,-6.702618297987364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024067388688327317,1.0
HC,20140324,8.426999927014243,8.245084192466948,7.621275385279645,7.8395770403252385,8.526626815817181,86810,286857.78,30,9.615351457686153,47616,7.906563396260182,7.953030847179221,4,1.6912726768817308,0.0,0.0,0.0,0.0,0.0,0.0,-11.59846593886408,-14.47980809509557,0.009009009009009009,1.0
HC,20140325,8.543325376508257,8.478239405487152,8.950715183511726,8.897130913570642,9.452705749557524,119854,402611.43,74,22.55179323153125,61256,7.984182011239952,8.993783631605545,54,21.62700289006989,0.0,0.0,0.0,0.0,0.0,0.0,32.38260507526299,38.17544304974308,0.021906453522794554,1.0
HC,20140326,9.471150814548722,9.33053054126232,8.609775628245231,9.559747079210702,9.414220753821581,37876,127606.69,18,5.713423479399616,60560,9.02887618288689,9.185845429414407,10,4.1488900598418255,0.0,0.0,0.0,0.0,0.0,0.0,-1.7021206165411726,-2.2060596178922296,0.00533175355450237,0.0
HC,20140327,9.43259364455821,9.291882509031034,8.685597041634772,9.481930469044407,9.144572975994393,40230,135364.98,-6,-1.9114321033544996,61430,9.22165998406851,9.109046914915211,-4,-1.6571456900852013,-1.2180784909183942,0.0,0.0,0.0,0.0,0.0,2.53465357168686,3.1739398693275263,-0.001784651992861392,0.0
HC,20140328,9.16243916365709,9.446419979183439,8.685597041634772,9.676401026696844,9.529648296627293,34290,115673.84,18,5.740426080440017,63080,9.144572975994393,9.26260867281281,8,3.3153617223083884,-0.999080001821838,0.0,0.0,0.0,0.0,0.0,4.637247532609834,5.866647591739195,0.005322294500295683,1.0
HC,20140331,9.54823754918992,9.832115018710155,9.366499838979557,10.103388448495231,10.067198924117392,60970,207475.02,38,11.906400887629488,65640,9.298711306932852,9.837180156304214,30,12.219798009421453,-0.6980701357371188,0.0,0.0,0.0,0.0,0.0,7.073538580027275,9.024463554222592,0.011143695014662757,1.0
HC,20140401,10.086791354534462,10.13998489708127,9.290979672974188,10.374483059335091,10.143838862860513,17896,60984.52,12,3.780520764508175,64136,9.875429865056127,9.913632179831666,4,1.640593361781086,-0.5632079641402612,0.0,0.0,0.0,0.0,0.0,-3.883654521105342,-5.036686749915688,0.0035149384885764497,1.0
HC,20140402,10.163573708891164,10.101535227209979,9.441985177032961,10.219632366914276,9.683422613728908,28570,97274.42,-16,-5.02895445425667,68700,9.952166319757069,9.875410894328965,-2,-0.8195067550296429,-0.5107082757670156,0.0,0.0,0.0,0.0,0.0,12.332368381598812,15.56794129864275,-0.00471976401179941,0.0
HC,20140403,9.702299592070716,9.600810343384012,9.21542494920633,10.103388448495231,10.067198924117392,20706,70374.1,6,1.9035442892375656,68410,9.913802873994157,9.760690462867181,-6,-2.45857945693583,-0.33090803488524756,-0.65302784837872,0.0,0.0,0.0,0.0,-0.6036146966071456,-0.8179931048153435,0.0017595307917888563,1.0
HC,20140404,10.086791354534462,10.13998489708127,9.705905698384385,10.490513906777622,10.641032818687734,21360,73132.9,42,13.011977347517991,70094,9.798655299399627,10.219057977514055,24,9.758519705877958,-0.11459417328902077,-0.43753473621926986,0.0,0.0,0.0,0.0,4.728647160935161,6.0812974446406685,0.012209302325581395,1.0
HC,20140408,10.661687724069104,10.868618599376902,10.607354116874724,11.26163051355504,11.402543778893516,40286,139763.12,58,17.534154937204832,80872,10.258725369212108,11.093613697883157,46,18.092598241449267,0.14490934113077003,-0.16011645670290875,0.0,0.0,0.0,0.0,26.90898873507159,33.26148818657637,0.016666666666666666,1.0
HC,20140409,11.42459432072932,11.593458024894119,10.607354116874724,11.300072740018038,10.869928442715036,32902,113911.15,-16,-4.934070254981101,81834,11.136497811320666,10.979849066269196,-6,-2.4132636514991574,0.28582631788663804,-0.023588792699470673,0.0,0.0,0.0,0.0,2.783134249544105,3.5766191746937395,-0.004634994206257242,0.0
