合约,日期,前收盘,开盘价,最高价,最低价,收盘价,成交量,成交金额,涨跌(收盘价),涨跌幅(收盘价),持仓量,前结算,结算价,涨跌(结算价),涨跌幅(结算价),MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
CU,20100104,14.126709009647826,14.327777585246395,14.620925771866155,14.216631928098622,14.190617565827864,285600,8621753.12,340,7.438091540958389,161040,13.41062522114239,14.538428931826473,680,19.24380179436585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00566383474929202,1.0
CU,20100105,14.142689865318175,14.802729242416277,14.557721246273147,14.343645636609708,15.081091483420323,270286,8158225.92,220,4.65938829914537,160152,14.483634078635973,14.52271195082632,-10,-0.9695169239615993,0.0,0.0,0.0,0.0,0.0,0.0,0.8345303656725918,0.5677437508503687,0.003630962204984321,1.0
CU,20100106,15.033592221970949,15.133831768088939,16.54405899180516,15.306809373404036,16.71268064995698,317130,9736312.42,1270,26.625394201039754,172100,14.46793501111614,16.143589799610965,1040,27.905185582280268,0.0,0.0,0.0,0.0,0.0,0.0,16.718228712660988,19.75293832809676,0.020606847314619505,1.0
CU,20100107,16.666037973367423,17.326114864340596,18.84649256750673,15.306809373404036,15.994690235397684,585286,18104545.56,-230,-5.709341823498995,159808,16.08704082670161,16.851300024136705,460,12.737314735311067,0.0,0.0,0.0,0.0,0.0,0.0,-13.473807668412405,-16.648622650629207,-0.003760013078306359,0.0
CU,20100108,15.947659130426757,15.97990980261855,15.798383757449358,13.993979490652407,15.23925144853223,533576,16141655.06,-1170,-25.36844501063818,155876,16.79402706852791,14.742523605287275,-1360,-34.59812413737934,5.112788505532151,0.0,0.0,0.0,0.0,0.0,-3.0529217372650095,-4.11950127782832,-0.019278299555116164,0.0
CU,20100111,15.191831152918809,16.524059642813555,17.436428464309344,16.895204108494724,17.547768940015203,313530,9717879.9,1670,33.087086666633,156532,14.687497402077582,17.05023314834854,1490,36.57181058651008,5.742878660447673,0.0,0.0,0.0,0.0,0.0,2.80564183239602,2.9675173546441087,0.026861830464854432,1.0
CU,20100112,17.501600962995497,16.4775519361947,16.404730060195376,16.151293880345236,16.821412936568052,269398,8282071.12,-290,-7.00383899749464,151668,16.992762372211928,16.26708891765186,-510,-15.244738357209009,6.06781001613659,0.0,0.0,0.0,0.0,0.0,-4.239076545676781,-5.669101141101876,-0.004700162074554295,0.0
CU,20100113,16.7748306675757,13.291149586979813,14.256954598751022,12.53545341606742,13.774508897614659,379902,11370755.3,-1710,-33.8610573035833,157426,16.210411362076826,13.73376126721967,-1620,-38.84646319095103,5.518550226032929,0.0,0.0,0.0,0.0,0.0,9.24443858124684,10.549770769828001,-0.028609670403212314,0.0
CU,20100114,13.726390352205975,15.683105469642413,15.454523678035528,15.448099814626474,15.33402047407506,180786,5503808.55,890,19.59027480836403,150502,13.679901155644728,15.336660469814632,1020,27.646877456232417,5.394588277458183,0.0,0.0,0.0,0.0,0.0,-6.84599513882192,-8.679958926324126,0.014650205761316872,1.0
CU,20100115,15.286647910924003,15.212497220212313,15.015035419436671,14.771136573702591,14.9543744949967,157256,4762838.43,-370,-8.967971242705687,148232,15.280974381821068,14.852245652427726,-310,-9.83051839390943,5.3410855662548755,5.004245375315918,0.0,0.0,0.0,0.0,-0.9316412049927507,-1.5540880610941414,-0.006114691786481574,0.0
CU,20100118,14.906812592689135,14.089460622749982,14.999301716297737,14.438801727986288,15.539023806536889,114758,3474938.71,310,6.688563031576898,140768,14.79709605316161,14.836578623428437,-10,-0.9685221348947621,4.9629596649791665,5.130070864047639,0.0,0.0,0.0,0.0,-7.5249282249412275,-9.515420603907302,0.005091984231274638,1.0
CU,20100119,15.491755566911792,16.02668384920804,16.140938483072475,16.306807941160514,16.71268064995698,88826,2729543.87,1070,22.816662639149996,120820,14.781446601580768,16.22079719528513,890,24.32654858943934,4.942449135495323,5.282099003092483,0.0,0.0,0.0,0.0,-22.230522160870294,-26.85988548085844,0.017361674509167615,1.0
CU,20100120,16.914499434133617,17.418155466726972,17.006836665470843,16.042269719903885,15.72785361810574,309334,9512712.41,-550,-12.769956818812211,172128,16.31821797508468,16.29793639680676,-50,-2.145133181216565,5.31024591221302,5.190364070249274,0.0,0.0,0.0,0.0,45.47835406011205,47.93821206431953,-0.009016393442622951,0.0
CU,20100121,15.680682767636554,15.353929957142654,15.438863065355719,14.976305793283359,15.680682767636554,354376,10771446.26,-530,-12.486179648412119,185938,16.241226870638172,15.196277816294767,-710,-20.65141347724443,5.375369960568278,5.161096088010666,0.0,0.0,0.0,0.0,18.856911984002338,22.058047024541324,-0.008692799737575857,0.0
CU,20100122,15.63348747214782,13.419276666770386,13.445289351694925,12.260908973434638,13.115035199668789,446150,13245440.35,-1430,-29.915851119608348,205670,15.14074579861456,12.954888082975337,-1420,-36.03752224523635,5.029316467390203,4.96286593901452,0.0,0.0,0.0,0.0,25.2229093760254,28.646685704389512,-0.024090296495956873,0.0
CU,20100125,13.06662632651674,13.738937393362328,13.58897475777868,13.355231734007788,14.030772020760764,316838,9457561.21,560,12.565446448915452,209794,12.901966036456336,13.464164267902,320,9.058450010482375,4.744617488065032,4.633767104841297,0.0,0.0,0.0,0.0,7.200814633899711,8.154322457821173,0.009344234940764225,1.0
CU,20100126,13.982770305594052,14.771136573702591,14.209383499527831,13.194956948841984,12.872784269422233,357058,10672069.03,-480,-11.575111484539597,216100,13.41062522114239,13.591117272425137,80,1.7695192418502401,4.016089808177483,4.262972271901546,0.0,0.0,0.0,0.0,9.92450944377039,11.264089656767773,-0.008106738726566459,0.0
CU,20100127,12.824272469247546,13.3712464624409,13.253415257088406,13.082627584066906,13.388957218104899,336408,10016092.18,-240,-6.156212784948011,214978,13.537426551642163,13.225730294400705,-230,-7.622154466886997,3.569811922417415,4.226694211817389,0.0,0.0,0.0,0.0,0.5355026451059004,0.23785089511573432,-0.004031580715605577,1.0
CU,20100128,13.340667134578474,10.043302143240375,10.223383851145364,9.730710939869049,10.044187882348979,517296,14898158.98,-2060,-39.09425989267417,225750,13.17247842227927,10.099066838835682,-1940,-43.3535920907988,2.486847226892152,3.7276677854190936,0.0,0.0,0.0,0.0,15.338312274382133,17.100922915140444,-0.03583855254001392,0.0
CU,20100129,9.994620735908377,8.855512446185607,8.410423032995375,6.975273433751383,6.859460560368433,533156,14974669.34,-2030,-39.55608264303341,234376,10.049842915071437,7.750848700287705,-1430,-37.470549712183455,1.2733397997872302,2.959510191104151,4.070774940269004,0.0,0.0,0.0,12.76816026699916,13.820934949050404,-0.03653050206946194,0.0
CU,20100201,6.80902334911022,5.970162280282032,5.7421511400009635,3.5602770531460806,5.003449663603142,613814,16616324.33,-1700,-36.217869952757624,216234,7.704937828134682,4.371493273470804,-2030,-45.203094417993526,-0.49715472770133573,1.9519999781087876,3.6310774450499324,0.0,0.0,0.0,-20.25832145062214,-21.926973271788835,-0.03120984027905269,0.0
CU,20100202,4.952658512982403,6.238596009879515,6.094122533797261,4.826402146873022,4.715527211175484,459288,12584251.1,160,3.642266067633628,206016,4.330713247134533,5.4582069587502104,650,20.220763163888748,-2.1140238011058727,0.794803597943293,3.1328203641247114,0.0,0.0,0.0,-10.948777077243953,-11.972735863793375,0.0029465930018416206,0.0
CU,20100203,4.664691180017535,6.0037317672124075,6.9468528137139245,5.583810691724587,7.396745595345777,521488,14430891.66,1100,25.859845572459903,198888,5.415734780590796,6.374574492582006,550,17.040506737040147,-3.31045111061691,-0.014504724578436878,2.683122998152342,0.0,0.0,0.0,-7.10273003577894,-8.127428073091444,0.019681517266058327,1.0
CU,20100204,7.34643180124602,3.695525181185978,4.363696420555982,3.661717092024098,4.206832783776129,448664,12101650.59,-1340,-30.427683582168807,201322,6.330705540372804,4.036422323211475,-1400,-37.90868534933861,-4.481894855510873,-1.136096483169446,2.1116227810828434,0.0,0.0,0.0,5.066700139494998,5.257497129786927,-0.024814814814814814,0.0
CU,20100205,4.155924021203482,1.2899714429732043,0.7964758487151826,0.16976216017622647,0.7678055710874645,397578,10314019.75,-1960,-40.16792397663426,195436,3.9961714459509494,0.5727859585484367,-2060,-46.065800340504865,-5.709516287766284,-2.3511829647673537,1.4063910421468009,0.0,0.0,0.0,-5.535408751364166,-5.81603385742811,-0.03770681031165833,0.0
CU,20100208,0.7166242355759351,1.5274906415091678,2.37124092598269,1.781915145484433,1.7569618058617777,287140,7558743.18,680,17.325599257110483,188590,0.538185739635658,1.8525284432302627,760,24.257462254121066,-6.365517688544131,-3.5662994985288847,0.6325470475730413,0.0,0.0,0.0,-6.747754703099311,-7.166133241705104,0.01293759512937595,1.0
