combination,rate
"(1, 2, 4, 8)",0.84
"(0, 4, 7, 8)",0.834285714286
"(0, 5, 7, 8)",0.828571428571
"(1, 2, 8)",0.828571428571
"(2, 3, 5, 8)",0.828571428571
"(1, 5, 6, 8)",0.828571428571
"(2, 5, 7, 8)",0.828571428571
"(8,)",0.828571428571
"(0, 2, 3, 8)",0.828571428571
"(2, 4, 8)",0.828571428571
"(0, 3, 7, 8)",0.828571428571
"(3, 5, 6, 8)",0.828571428571
"(0, 8)",0.828571428571
"(2, 3, 6, 8)",0.828571428571
"(1, 4, 7, 8)",0.828571428571
"(0, 4, 6, 8)",0.828571428571
"(0, 2, 4, 8)",0.828571428571
"(2, 3, 7, 8)",0.828571428571
"(1, 4, 6, 8)",0.828571428571
"(5, 6, 7, 8)",0.828571428571
"(1, 2, 5, 8)",0.828571428571
"(2, 4, 5, 8)",0.828571428571
"(4, 5, 6, 8)",0.828571428571
"(1, 8)",0.828571428571
"(0, 1, 2, 8)",0.822857142857
"(3, 4, 6, 8)",0.822857142857
"(5, 8)",0.822857142857
"(0, 4, 5, 8)",0.822857142857
"(1, 2, 6, 8)",0.822857142857
"(4, 6, 7, 8)",0.822857142857
"(0, 3, 5, 8)",0.822857142857
"(0, 4, 8)",0.822857142857
"(4, 7, 8)",0.822857142857
"(0, 2, 5, 8)",0.822857142857
"(1, 3, 6, 8)",0.822857142857
"(2, 3, 8)",0.822857142857
"(2, 4, 7, 8)",0.822857142857
"(1, 4, 5, 8)",0.822857142857
"(7, 8)",0.822857142857
"(2, 3, 4, 8)",0.822857142857
"(0, 3, 6, 8)",0.822857142857
"(3, 7, 8)",0.822857142857
"(1, 6, 8)",0.822857142857
"(1, 5, 7, 8)",0.822857142857
"(5, 6, 8)",0.822857142857
"(4, 5, 7, 8)",0.822857142857
"(0, 5, 8)",0.822857142857
"(1, 3, 4, 8)",0.822857142857
"(4, 5, 8)",0.822857142857
"(4, 8)",0.822857142857
"(2, 8)",0.822857142857
"(2, 5, 8)",0.822857142857
"(3, 6, 8)",0.822857142857
"(3, 5, 8)",0.822857142857
"(3, 4, 5, 8)",0.822857142857
"(0, 3, 4, 8)",0.822857142857
"(1, 2, 3, 8)",0.822857142857
"(2, 5, 6, 8)",0.822857142857
"(1, 5, 8)",0.822857142857
"(1, 3, 7, 8)",0.822857142857
"(6, 8)",0.822857142857
"(2, 4, 6, 8)",0.822857142857
"(2, 6, 8)",0.822857142857
"(0, 5, 6, 8)",0.822857142857
"(4, 6, 8)",0.822857142857
"(3, 4, 7, 8)",0.822857142857
"(3, 4, 8)",0.822857142857
"(6, 7, 8)",0.822857142857
"(1, 3, 5, 8)",0.822857142857
"(1, 4, 8)",0.822857142857
"(3, 8)",0.822857142857
"(0, 1, 7, 8)",0.817142857143
"(0, 2, 7, 8)",0.817142857143
"(3, 6, 7, 8)",0.817142857143
"(3, 5, 7, 8)",0.817142857143
"(5, 7, 8)",0.817142857143
"(1, 3, 8)",0.817142857143
"(0, 2, 6, 8)",0.817142857143
"(2, 6, 7, 8)",0.811428571429
"(0, 1, 4, 8)",0.811428571429
"(0, 7, 8)",0.811428571429
"(0, 1, 8)",0.811428571429
"(0, 1, 3, 8)",0.811428571429
"(1, 6, 7, 8)",0.811428571429
"(0, 2, 8)",0.811428571429
"(1, 2, 7, 8)",0.811428571429
"(0, 1, 6, 8)",0.811428571429
"(0, 6, 8)",0.811428571429
"(0, 3, 8)",0.811428571429
"(2, 7, 8)",0.811428571429
"(0, 6, 7, 8)",0.811428571429
"(1, 7, 8)",0.811428571429
"(0, 1, 5, 8)",0.805714285714
