combination,rate
"(0, 4, 5, 8)",0.836206896552
"(0, 2, 5, 8)",0.836206896552
"(3, 4, 6, 8)",0.831896551724
"(0, 5, 8)",0.831896551724
"(2, 5, 8)",0.831896551724
"(3, 4, 5, 8)",0.831896551724
"(2, 5, 6, 8)",0.831896551724
"(3, 4, 8)",0.831896551724
"(2, 4, 5, 8)",0.831896551724
"(2, 3, 5, 8)",0.827586206897
"(0, 3, 5, 8)",0.827586206897
"(1, 4, 5, 8)",0.827586206897
"(2, 4, 8)",0.827586206897
"(3, 5, 6, 8)",0.827586206897
"(3, 5, 8)",0.827586206897
"(3, 5, 7, 8)",0.827586206897
"(3, 4, 7, 8)",0.827586206897
"(1, 5, 6, 8)",0.823275862069
"(2, 5, 7, 8)",0.823275862069
"(4, 5, 8)",0.823275862069
"(0, 3, 4, 8)",0.823275862069
"(1, 5, 8)",0.823275862069
"(0, 2, 4, 8)",0.823275862069
"(2, 4, 6, 8)",0.823275862069
"(1, 3, 5, 8)",0.823275862069
"(2, 6, 7, 8)",0.818965517241
"(0, 4, 8)",0.818965517241
"(2, 4, 7, 8)",0.818965517241
"(1, 6, 8)",0.818965517241
"(5, 6, 8)",0.818965517241
"(1, 6, 7, 8)",0.818965517241
"(3, 6, 7, 8)",0.818965517241
"(2, 3, 6, 8)",0.818965517241
"(3, 6, 8)",0.818965517241
"(0, 4, 6, 8)",0.818965517241
"(1, 4, 6, 8)",0.818965517241
"(2, 6, 8)",0.818965517241
"(6, 7, 8)",0.818965517241
"(0, 6, 7, 8)",0.818965517241
"(7, 8)",0.814655172414
"(2, 3, 4, 8)",0.814655172414
"(0, 3, 6, 8)",0.814655172414
"(1, 5, 7, 8)",0.814655172414
"(1, 4, 7, 8)",0.814655172414
"(6, 8)",0.814655172414
"(2, 3, 7, 8)",0.814655172414
"(0, 6, 8)",0.814655172414
"(0, 5, 6, 8)",0.814655172414
"(5, 7, 8)",0.814655172414
"(5, 6, 7, 8)",0.814655172414
"(2, 7, 8)",0.814655172414
"(1, 2, 5, 8)",0.814655172414
"(4, 5, 6, 8)",0.814655172414
"(0, 5, 7, 8)",0.810344827586
"(5, 8)",0.810344827586
"(4, 6, 7, 8)",0.810344827586
"(0, 7, 8)",0.810344827586
"(8,)",0.810344827586
"(3, 7, 8)",0.810344827586
"(0, 4, 7, 8)",0.810344827586
"(1, 2, 4, 8)",0.810344827586
"(0, 3, 7, 8)",0.810344827586
"(4, 5, 7, 8)",0.810344827586
"(0, 8)",0.810344827586
"(4, 6, 8)",0.810344827586
"(1, 4, 8)",0.810344827586
"(4, 7, 8)",0.806034482759
"(0, 1, 8)",0.806034482759
"(1, 3, 6, 8)",0.806034482759
"(0, 1, 7, 8)",0.806034482759
"(0, 2, 7, 8)",0.806034482759
"(1, 3, 4, 8)",0.806034482759
"(4, 8)",0.806034482759
"(0, 1, 6, 8)",0.806034482759
"(0, 2, 6, 8)",0.806034482759
"(1, 7, 8)",0.806034482759
"(0, 1, 4, 8)",0.801724137931
"(0, 1, 5, 8)",0.801724137931
"(2, 3, 8)",0.801724137931
"(0, 2, 8)",0.801724137931
"(2, 8)",0.801724137931
"(1, 3, 7, 8)",0.801724137931
"(0, 3, 8)",0.801724137931
"(3, 8)",0.801724137931
"(1, 8)",0.801724137931
"(1, 2, 6, 8)",0.797413793103
"(0, 2, 3, 8)",0.797413793103
"(1, 2, 7, 8)",0.797413793103
"(1, 3, 8)",0.797413793103
"(0, 1, 3, 8)",0.793103448276
"(1, 2, 3, 8)",0.793103448276
"(1, 2, 8)",0.788793103448
"(0, 1, 2, 8)",0.780172413793
